stname,Districts,NSA_lakh_ha,ScaleUp,Pilot,Avoid
ANDAMAN & NICOBAR,3,0.0,0,0,0
ANDHRA PRADESH,13,23.5,0,0,12
ARUNACHAL PRADESH,25,2.8,20,2,0
ASSAM,33,27.3,26,0,0
BIHAR,38,53.1,16,18,4
CHANDIGARH,1,0.0,0,0,1
CHHATTISGARH,27,36.1,23,1,0
DADRA & NAGAR HAVE,1,0.0,0,0,0
DAMAN & DIU,2,0.0,0,0,0
DELHI,11,0.0,0,0,0
GOA,2,1.3,1,1,0
GUJARAT,33,97.7,5,10,17
HARYANA,22,33.5,0,0,20
HIMACHAL PRADESH,12,5.2,12,0,0
JAMMU & KASHMIR,22,0.0,0,0,0
JHARKHAND,24,6.9,21,0,0
KARNATAKA,30,70.3,10,11,8
KERALA,14,19.7,7,7,0
LADAKH,2,0.1,0,0,0
LAKSHADWEEP,1,0.0,0,0,0
MADHYA PRADESH,52,149.3,13,16,21
MAHARASHTRA,36,134.4,18,12,2
MANIPUR,16,0.0,5,0,4
MEGHALAYA,11,2.5,8,2,0
MIZORAM,11,2.0,8,0,0
NAGALAND,11,3.7,3,8,0
ODISHA,30,44.4,27,2,0
PUDUCHERRY,4,0.1,2,0,1
PUNJAB,22,36.4,0,0,20
RAJASTHAN,33,158.7,12,6,15
SIKKIM,4,0.0,0,0,0
TAMIL NADU,37,46.8,6,5,19
TELANGANA,33,49.1,2,6,18
TRIPURA,8,2.5,1,6,1
UTTAR PRADESH,75,155.0,5,9,57
UTTARAKHAND,13,4.9,7,1,2
WEST BENGAL,23,41.2,2,2,14
